38.180.0.0/24,FR,,Paris,
38.180.1.0/24,NO,,Oslo,
38.180.2.0/24,BG,BG-23,Sofia,
38.180.3.0/24,BG,BG-23,Sofia,
38.180.4.0/23,US,US-CA,LosAngelos,
38.180.6.0/24,US,US-NY,NewYourk,
38.180.7.0/24,JP,JP-13,Tokyo,
38.180.8.0/24,GB,GB-ENG,London,
38.180.9.0/24,SG,,Singapore,
38.180.10.0/24,EE,EE-784,Tallin,
38.180.11.0/24,AE,AE-DU,Dubai,
38.180.12.0/23,CA,CA-QC,Montreal,
38.180.14.0/24,CZ,CZ-10,Praha,
38.180.15.0/24,CH,CH-BE,Bern,
38.180.16.0/24,BR,BR-SP,Sao Paulo,
38.180.17.0/24,RS,RS-00,Belgrade,
38.180.18.0/24,BE,BE-BRU,Bruxelles,
38.180.19.0/24,HU,HU-BU,Budapest,
38.180.20.0/24,DK,DK-85,Copenhagen,
38.180.21.0/24,IE,IE-D,Dublin,
38.180.22.0/24,IT,IT-MI,Milano,
38.180.23.0/24,AT,AT-9,Wien,
38.180.24.0/24,PL,PL-22,Gdansk,
38.180.25.0/24,US,US-NY,NewYourk,
38.180.26.0/23,AE,AE-DU,Dubai,
38.180.28.0/23,JP,JP-13,Tokio,
38.180.30.0/24,GB,GB-MAN,Manchester,
38.180.31.0/24,FR,,Paris,
176.97.76.0/24,RO,RO-B,Buhuresti,
